year,survey_id,SITE,site_type,SITE_label,DATE,Activity,Coral_No,Colour_Code_Lightest,Colour_Code_Darkest,Average_Colour,Coral_Type,Type,Colour_Code_num,health
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,6,B4,B4,4,Branching corals,Lightest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,6,B4,B4,4,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,7,B3,B3,3,Branching corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,7,B3,B3,3,Branching corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,8,D2,D2,2,Branching corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,8,D2,D2,2,Branching corals,Darkest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,9,D4,D4,4,Plate corals,Lightest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,9,D4,D4,4,Plate corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,10,E4,E4,4,Branching corals,Lightest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,10,E4,E4,4,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,11,E2,E4,3,Boulder corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,11,E2,E4,3,Boulder corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,12,B4,B4,4,Branching corals,Lightest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,12,B4,B4,4,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,13,B4,B4,4,Branching corals,Lightest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,13,B4,B4,4,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,14,E3,E3,3,Branching corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,14,E3,E3,3,Branching corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,15,D2,D3,2.5,Plate corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,15,D2,D3,2.5,Plate corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,16,D2,D2,2,Branching corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,16,D2,D2,2,Branching corals,Darkest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,17,D6,D6,6,Plate corals,Lightest_num,6,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,17,D6,D6,6,Plate corals,Darkest_num,6,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,18,D4,D4,4,Boulder corals,Lightest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,18,D4,D4,4,Boulder corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,19,E3,E3,3,Branching corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,19,E3,E3,3,Branching corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,20,D3,D3,3,Plate corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,20,D3,D3,3,Plate corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,1,C1,C5,3,Branching corals,Lightest_num,1,bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,1,C1,C5,3,Branching corals,Darkest_num,5,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,2,D1,D2,1.5,Branching corals,Lightest_num,1,bleached
