"SITE","year","substrate_group","Proportion"
"Coral Cascade","2020","HC",0.601
"Coral Cascade","2020","HCB",0
"Coral Cascade","2020","NIA",0.019
"Coral Cascade","2020","NL",0.325
"Coral Cascade","2020","NR",0
"Coral Cascade","2020","OT",0
"Coral Cascade","2020","RKC",0
"Coral Cascade","2020","SC",0.056
"Coral Cascade","2020","SP",0
"Coral Cascade","2021","HC",0.668
"Coral Cascade","2021","HCB",0
"Coral Cascade","2021","NIA",0
"Coral Cascade","2021","NL",0.238
"Coral Cascade","2021","NR",0
"Coral Cascade","2021","OT",0.062
"Coral Cascade","2021","RKC",0
"Coral Cascade","2021","SC",0.031
"Coral Cascade","2021","SP",0
"Coral Cascade","2022","HC",0.557
"Coral Cascade","2022","HCB",0.006
"Coral Cascade","2022","NIA",0
"Coral Cascade","2022","NL",0.381
"Coral Cascade","2022","NR",0
"Coral Cascade","2022","OT",0.025
"Coral Cascade","2022","RKC",0
"Coral Cascade","2022","SC",0.031
"Coral Cascade","2022","SP",0
"Coral Cascade","2023","HC",0.794
"Coral Cascade","2023","HCB",0
"Coral Cascade","2023","NIA",0
"Coral Cascade","2023","NL",0.194
"Coral Cascade","2023","NR",0
"Coral Cascade","2023","OT",0
"Coral Cascade","2023","RKC",0
"Coral Cascade","2023","SC",0.013
"Coral Cascade","2023","SP",0
"Coral Cascade","2024","HC",0.294
"Coral Cascade","2024","HCB",0
"Coral Cascade","2024","NIA",0.025
"Coral Cascade","2024","NL",0.606
"Coral Cascade","2024","NR",0
"Coral Cascade","2024","OT",0.05
"Coral Cascade","2024","RKC",0.006
"Coral Cascade","2024","SC",0.019
"Coral Cascade","2024","SP",0
"Coral Grotto","2013","HC",0.288
"Coral Grotto","2013","HCB",0
"Coral Grotto","2013","NIA",0.006
"Coral Grotto","2013","NL",0.656
"Coral Grotto","2013","NR",0
"Coral Grotto","2013","OT",0.013
"Coral Grotto","2013","RKC",0
"Coral Grotto","2013","SC",0.025
"Coral Grotto","2013","SP",0.012
"Coral Grotto","2014","HC",0.339
"Coral Grotto","2014","HCB",0
"Coral Grotto","2014","NIA",0.006
"Coral Grotto","2014","NL",0.625
"Coral Grotto","2014","NR",0
"Coral Grotto","2014","OT",0
"Coral Grotto","2014","RKC",0
"Coral Grotto","2014","SC",0.026
"Coral Grotto","2014","SP",0.006
"Coral Grotto","2015","HC",0.433
"Coral Grotto","2015","HCB",0
"Coral Grotto","2015","NIA",0
"Coral Grotto","2015","NL",0.55
"Coral Grotto","2015","NR",0
"Coral Grotto","2015","OT",0
"Coral Grotto","2015","RKC",0
"Coral Grotto","2015","SC",0.019
"Coral Grotto","2015","SP",0
"Coral Grotto","2016","HC",0.6
"Coral Grotto","2016","HCB",0
"Coral Grotto","2016","NIA",0.05
"Coral Grotto","2016","NL",0.325
"Coral Grotto","2016","NR",0
"Coral Grotto","2016","OT",0
