SITE,SITE_label,year,site_type,HC,HCB,total_coral,method,bleach_prop
Shark Bay,Shark Bay (SF),2018,SF,0.156,0.013,0.169,RCA,0.07692307692307691
Shark Bay,Shark Bay (SF),2018,SF,0.156,0.013,0.169,CW,0.2894736842105263
Shark Bay,Shark Bay (SF),2019,SF,0.093,0,0.093,RCA,0
Shark Bay,Shark Bay (SF),2019,SF,0.093,0,0.093,CW,0.025
Shark Bay,Shark Bay (SF),2020,SF,0.107,0,0.107,RCA,0
Shark Bay,Shark Bay (SF),2020,SF,0.107,0,0.107,CW,NA
Shark Bay,Shark Bay (SF),2021,SF,0.075,0,0.075,RCA,0
Shark Bay,Shark Bay (SF),2021,SF,0.075,0,0.075,CW,0
Shark Bay,Shark Bay (SF),2022,SF,0.114,0.006,0.12,RCA,0.04999999999999999
Shark Bay,Shark Bay (SF),2022,SF,0.114,0.006,0.12,CW,0
Shark Bay,Shark Bay (SF),2023,SF,0.188,0,0.188,RCA,0
Shark Bay,Shark Bay (SF),2023,SF,0.188,0,0.188,CW,0
Shark Bay,Shark Bay (SF),2024,SF,0.169,0.006,0.17500000000000002,RCA,0.03428571428571428
Shark Bay,Shark Bay (SF),2024,SF,0.169,0.006,0.17500000000000002,CW,0.09278350515463918
Coral Cascade,Coral Cascade (NS),2013,NS,0.432,0,0.432,RCA,0
Coral Cascade,Coral Cascade (NS),2013,NS,0.432,0,0.432,CW,NA
Coral Cascade,Coral Cascade (NS),2014,NS,0.494,0,0.494,RCA,0
Coral Cascade,Coral Cascade (NS),2014,NS,0.494,0,0.494,CW,0
Coral Cascade,Coral Cascade (NS),2015,NS,0.568,0,0.568,RCA,0
Coral Cascade,Coral Cascade (NS),2015,NS,0.568,0,0.568,CW,0
Coral Cascade,Coral Cascade (NS),2016,NS,0.605,0.019,0.624,RCA,0.03044871794871794
Coral Cascade,Coral Cascade (NS),2016,NS,0.605,0.019,0.624,CW,NA
Coral Cascade,Coral Cascade (NS),2017,NS,0.45,0.1,0.55,RCA,0.18181818181818185
Coral Cascade,Coral Cascade (NS),2017,NS,0.45,0.1,0.55,CW,0.02272727272727272
Coral Cascade,Coral Cascade (NS),2018,NS,0.531,0.013,0.544,RCA,0.02389705882352941
Coral Cascade,Coral Cascade (NS),2018,NS,0.531,0.013,0.544,CW,0
Coral Cascade,Coral Cascade (NS),2019,NS,0.532,0.013,0.545,RCA,0.02385321100917431
Coral Cascade,Coral Cascade (NS),2019,NS,0.532,0.013,0.545,CW,NA
Coral Cascade,Coral Cascade (NS),2020,NS,0.601,0,0.601,RCA,0
Coral Cascade,Coral Cascade (NS),2020,NS,0.601,0,0.601,CW,NA
Coral Cascade,Coral Cascade (NS),2021,NS,0.668,0,0.668,RCA,0
Coral Cascade,Coral Cascade (NS),2021,NS,0.668,0,0.668,CW,0.00666666666666666
Coral Cascade,Coral Cascade (NS),2022,NS,0.557,0.006,0.5630000000000001,RCA,0.01065719360568383
Coral Cascade,Coral Cascade (NS),2022,NS,0.557,0.006,0.5630000000000001,CW,0
Coral Cascade,Coral Cascade (NS),2023,NS,0.794,0,0.794,RCA,0
Coral Cascade,Coral Cascade (NS),2023,NS,0.794,0,0.794,CW,0.00892857142857142
Coral Cascade,Coral Cascade (NS),2024,NS,0.294,0,0.294,RCA,0
Coral Cascade,Coral Cascade (NS),2024,NS,0.294,0,0.294,CW,0.14166666666666666
Coral Grotto,Coral Grotto (NS),2013,NS,0.288,0,0.288,RCA,0
Coral Grotto,Coral Grotto (NS),2013,NS,0.288,0,0.288,CW,NA
Coral Grotto,Coral Grotto (NS),2014,NS,0.339,0,0.339,RCA,0
Coral Grotto,Coral Grotto (NS),2014,NS,0.339,0,0.339,CW,0.07894736842105263
Coral Grotto,Coral Grotto (NS),2015,NS,0.433,0,0.433,RCA,0
Coral Grotto,Coral Grotto (NS),2015,NS,0.433,0,0.433,CW,0.02631578947368421
Coral Grotto,Coral Grotto (NS),2016,NS,0.6,0,0.6,RCA,0
Coral Grotto,Coral Grotto (NS),2016,NS,0.6,0,0.6,CW,NA
Coral Grotto,Coral Grotto (NS),2017,NS,0.47,0,0.47,RCA,0
Coral Grotto,Coral Grotto (NS),2017,NS,0.47,0,0.47,CW,0
Coral Grotto,Coral Grotto (NS),2018,NS,0.594,0,0.594,RCA,0
