"SITE","site_type","SITE_label","year","substrate_group","Proportion"
"Last Resort","NF","Last Resort (NF)",2018,"OT",0.031
"Last Resort","NF","Last Resort (NF)",2018,"RKC",0
"Last Resort","NF","Last Resort (NF)",2018,"SC",0
"Last Resort","NF","Last Resort (NF)",2018,"SP",0
"Last Resort","NF","Last Resort (NF)",2019,"HC",0.063
"Last Resort","NF","Last Resort (NF)",2019,"HCB",0.006
"Last Resort","NF","Last Resort (NF)",2019,"NIA",0.175
"Last Resort","NF","Last Resort (NF)",2019,"NL",0.713
"Last Resort","NF","Last Resort (NF)",2019,"NR",0
"Last Resort","NF","Last Resort (NF)",2019,"OT",0.044
"Last Resort","NF","Last Resort (NF)",2019,"RKC",0
"Last Resort","NF","Last Resort (NF)",2019,"SC",0
"Last Resort","NF","Last Resort (NF)",2019,"SP",0
"Last Resort","NF","Last Resort (NF)",2020,"HC",0.032
"Last Resort","NF","Last Resort (NF)",2020,"HCB",0
"Last Resort","NF","Last Resort (NF)",2020,"NIA",0.169
"Last Resort","NF","Last Resort (NF)",2020,"NL",0.757
"Last Resort","NF","Last Resort (NF)",2020,"NR",0
"Last Resort","NF","Last Resort (NF)",2020,"OT",0.025
"Last Resort","NF","Last Resort (NF)",2020,"RKC",0.019
"Last Resort","NF","Last Resort (NF)",2020,"SC",0
"Last Resort","NF","Last Resort (NF)",2020,"SP",0
"Last Resort","NF","Last Resort (NF)",2021,"HC",0.056
"Last Resort","NF","Last Resort (NF)",2021,"HCB",0
"Last Resort","NF","Last Resort (NF)",2021,"NIA",0.013
"Last Resort","NF","Last Resort (NF)",2021,"NL",0.931
"Last Resort","NF","Last Resort (NF)",2021,"NR",0
"Last Resort","NF","Last Resort (NF)",2021,"OT",0
"Last Resort","NF","Last Resort (NF)",2021,"RKC",0
"Last Resort","NF","Last Resort (NF)",2021,"SC",0
"Last Resort","NF","Last Resort (NF)",2021,"SP",0
"Last Resort","NF","Last Resort (NF)",2022,"HC",0.038
"Last Resort","NF","Last Resort (NF)",2022,"HCB",0
"Last Resort","NF","Last Resort (NF)",2022,"NIA",0.162
"Last Resort","NF","Last Resort (NF)",2022,"NL",0.788
"Last Resort","NF","Last Resort (NF)",2022,"NR",0
"Last Resort","NF","Last Resort (NF)",2022,"OT",0.013
"Last Resort","NF","Last Resort (NF)",2022,"RKC",0
"Last Resort","NF","Last Resort (NF)",2022,"SC",0
"Last Resort","NF","Last Resort (NF)",2022,"SP",0
"Last Resort","NF","Last Resort (NF)",2023,"HC",0.1
"Last Resort","NF","Last Resort (NF)",2023,"HCB",0.006
"Last Resort","NF","Last Resort (NF)",2023,"NIA",0.188
"Last Resort","NF","Last Resort (NF)",2023,"NL",0.669
"Last Resort","NF","Last Resort (NF)",2023,"NR",0.006
"Last Resort","NF","Last Resort (NF)",2023,"OT",0.031
"Last Resort","NF","Last Resort (NF)",2023,"RKC",0
"Last Resort","NF","Last Resort (NF)",2023,"SC",0
"Last Resort","NF","Last Resort (NF)",2023,"SP",0
"Last Resort","NF","Last Resort (NF)",2024,"HC",0.044
"Last Resort","NF","Last Resort (NF)",2024,"HCB",0
"Last Resort","NF","Last Resort (NF)",2024,"NIA",0.219
"Last Resort","NF","Last Resort (NF)",2024,"NL",0.739
"Last Resort","NF","Last Resort (NF)",2024,"NR",0
"Last Resort","NF","Last Resort (NF)",2024,"OT",0
"Last Resort","NF","Last Resort (NF)",2024,"RKC",0
"Last Resort","NF","Last Resort (NF)",2024,"SC",0
"Last Resort","NF","Last Resort (NF)",2024,"SP",0
"White Wedding","NF","White Wedding (NF)",2014,"HC",0.1
"White Wedding","NF","White Wedding (NF)",2014,"HCB",0
"White Wedding","NF","White Wedding (NF)",2014,"NIA",0.069
"White Wedding","NF","White Wedding (NF)",2014,"NL",0.812
"White Wedding","NF","White Wedding (NF)",2014,"NR",0
"White Wedding","NF","White Wedding (NF)",2014,"OT",0.019
"White Wedding","NF","White Wedding (NF)",2014,"RKC",0
"White Wedding","NF","White Wedding (NF)",2014,"SC",0
"White Wedding","NF","White Wedding (NF)",2014,"SP",0
"White Wedding","NF","White Wedding (NF)",2015,"HC",0.131
"White Wedding","NF","White Wedding (NF)",2015,"HCB",0.006
"White Wedding","NF","White Wedding (NF)",2015,"NIA",0
"White Wedding","NF","White Wedding (NF)",2015,"NL",0.85
"White Wedding","NF","White Wedding (NF)",2015,"NR",0
"White Wedding","NF","White Wedding (NF)",2015,"OT",0.006
"White Wedding","NF","White Wedding (NF)",2015,"RKC",0
"White Wedding","NF","White Wedding (NF)",2015,"SC",0
"White Wedding","NF","White Wedding (NF)",2015,"SP",0.006
"White Wedding","NF","White Wedding (NF)",2016,"HC",0.069
"White Wedding","NF","White Wedding (NF)",2016,"HCB",0
"White Wedding","NF","White Wedding (NF)",2016,"NIA",0.025
"White Wedding","NF","White Wedding (NF)",2016,"NL",0.806
"White Wedding","NF","White Wedding (NF)",2016,"NR",0
"White Wedding","NF","White Wedding (NF)",2016,"OT",0.088
"White Wedding","NF","White Wedding (NF)",2016,"RKC",0.006
"White Wedding","NF","White Wedding (NF)",2016,"SC",0.006
"White Wedding","NF","White Wedding (NF)",2016,"SP",0
"White Wedding","NF","White Wedding (NF)",2017,"HC",0.126
"White Wedding","NF","White Wedding (NF)",2017,"HCB",0.013
"White Wedding","NF","White Wedding (NF)",2017,"NIA",0.013
"White Wedding","NF","White Wedding (NF)",2017,"NL",0.806
"White Wedding","NF","White Wedding (NF)",2017,"NR",0
"White Wedding","NF","White Wedding (NF)",2017,"OT",0.044
"White Wedding","NF","White Wedding (NF)",2017,"RKC",0
"White Wedding","NF","White Wedding (NF)",2017,"SC",0
"White Wedding","NF","White Wedding (NF)",2017,"SP",0
"White Wedding","NF","White Wedding (NF)",2018,"HC",0.107
"White Wedding","NF","White Wedding (NF)",2018,"HCB",0
"White Wedding","NF","White Wedding (NF)",2018,"NIA",0.075
"White Wedding","NF","White Wedding (NF)",2018,"NL",0.806
"White Wedding","NF","White Wedding (NF)",2018,"NR",0
"White Wedding","NF","White Wedding (NF)",2018,"OT",0.006
"White Wedding","NF","White Wedding (NF)",2018,"RKC",0
"White Wedding","NF","White Wedding (NF)",2018,"SC",0.006
"White Wedding","NF","White Wedding (NF)",2018,"SP",0
"White Wedding","NF","White Wedding (NF)",2019,"HC",0.032
"White Wedding","NF","White Wedding (NF)",2019,"HCB",0.006
"White Wedding","NF","White Wedding (NF)",2019,"NIA",0.081
"White Wedding","NF","White Wedding (NF)",2019,"NL",0.838
"White Wedding","NF","White Wedding (NF)",2019,"NR",0
"White Wedding","NF","White Wedding (NF)",2019,"OT",0.044
