year_season,season,year,SITE,site_type,SITE_label,n_surveys,n_observations,n_bleached_obs,prop_bleach_obs,n_surveys_bleached,threshold_survey
2015_Spring,Spring,2015,Canyons,SS,Canyons (SS),1,40,0,0,0,FALSE
2016_Spring,Spring,2016,Canyons,SS,Canyons (SS),1,38,1,0.02631578947368421,0,FALSE
2017_Spring,Spring,2017,Canyons,SS,Canyons (SS),2,86,4,0.046511627906976744,0,FALSE
2018_Spring,Spring,2018,Canyons,SS,Canyons (SS),1,40,0,0,0,FALSE
2019_Spring,Spring,2019,Canyons,SS,Canyons (SS),1,40,0,0,0,FALSE
2020_Spring,Spring,2020,Canyons,SS,Canyons (SS),2,346,15,0.04335260115606936,0,FALSE
2021_Spring,Spring,2021,Canyons,SS,Canyons (SS),2,248,5,0.020161290322580645,0,FALSE
2022_Spring,Spring,2022,Canyons,SS,Canyons (SS),2,110,1,0.00909090909090909,0,FALSE
2023_Spring,Spring,2023,Canyons,SS,Canyons (SS),2,112,1,0.008928571428571428,0,FALSE
2024_Autumn,Autumn,2024,Canyons,SS,Canyons (SS),1,40,13,0.325,1,TRUE
2024_Spring,Spring,2024,Canyons,SS,Canyons (SS),2,120,2,0.016666666666666666,0,FALSE
2015_Spring,Spring,2015,Half Way,SS,Half Way (SS),1,34,0,0,0,FALSE
2016_Spring,Spring,2016,Half Way,SS,Half Way (SS),1,30,0,0,0,FALSE
2017_Spring,Spring,2017,Half Way,SS,Half Way (SS),1,32,0,0,0,FALSE
2018_Spring,Spring,2018,Half Way,SS,Half Way (SS),1,28,0,0,0,FALSE
2019_Spring,Spring,2019,Half Way,SS,Half Way (SS),1,72,1,0.013888888888888888,0,FALSE
2021_Spring,Spring,2021,Half Way,SS,Half Way (SS),1,38,0,0,0,FALSE
2022_Spring,Spring,2022,Half Way,SS,Half Way (SS),2,78,0,0,0,FALSE
2023_Spring,Spring,2023,Half Way,SS,Half Way (SS),2,70,1,0.014285714285714285,0,FALSE
2024_Autumn,Autumn,2024,Half Way,SS,Half Way (SS),1,24,9,0.375,1,TRUE
2024_Spring,Spring,2024,Half Way,SS,Half Way (SS),2,132,6,0.045454545454545456,0,FALSE
2014_Spring,Spring,2014,Harry's Bommie,SS,Harry's Bommie (SS),1,30,0,0,0,FALSE
2015_Spring,Spring,2015,Harry's Bommie,SS,Harry's Bommie (SS),1,34,3,0.08823529411764706,0,FALSE
2016_Spring,Spring,2016,Harry's Bommie,SS,Harry's Bommie (SS),1,40,0,0,0,FALSE
2017_Spring,Spring,2017,Harry's Bommie,SS,Harry's Bommie (SS),1,38,0,0,0,FALSE
2018_Spring,Spring,2018,Harry's Bommie,SS,Harry's Bommie (SS),1,36,3,0.08333333333333333,0,FALSE
2019_Spring,Spring,2019,Harry's Bommie,SS,Harry's Bommie (SS),1,40,1,0.025,0,FALSE
2021_Spring,Spring,2021,Harry's Bommie,SS,Harry's Bommie (SS),1,34,0,0,0,FALSE
2022_Spring,Spring,2022,Harry's Bommie,SS,Harry's Bommie (SS),1,60,0,0,0,FALSE
2023_Spring,Spring,2023,Harry's Bommie,SS,Harry's Bommie (SS),2,112,1,0.008928571428571428,0,FALSE
2024_Autumn,Autumn,2024,Harry's Bommie,SS,Harry's Bommie (SS),1,38,14,0.3684210526315789,1,TRUE
2024_Spring,Spring,2024,Harry's Bommie,SS,Harry's Bommie (SS),3,216,8,0.037037037037037035,0,FALSE
2014_Spring,Spring,2014,Heron Bommie,SS,Heron Bommie (SS),1,34,1,0.029411764705882353,0,FALSE
2016_Spring,Spring,2016,Heron Bommie,SS,Heron Bommie (SS),1,38,0,0,0,FALSE
2017_Spring,Spring,2017,Heron Bommie,SS,Heron Bommie (SS),1,36,1,0.027777777777777776,0,FALSE
2018_Spring,Spring,2018,Heron Bommie,SS,Heron Bommie (SS),1,30,5,0.16666666666666666,0,FALSE
2019_Spring,Spring,2019,Heron Bommie,SS,Heron Bommie (SS),1,36,0,0,0,FALSE
2022_Spring,Spring,2022,Heron Bommie,SS,Heron Bommie (SS),2,106,5,0.04716981132075472,0,FALSE
2023_Spring,Spring,2023,Heron Bommie,SS,Heron Bommie (SS),2,66,2,0.030303030303030304,0,FALSE
2024_Autumn,Autumn,2024,Heron Bommie,SS,Heron Bommie (SS),2,386,81,0.20984455958549222,1,TRUE
2024_Spring,Spring,2024,Heron Bommie,SS,Heron Bommie (SS),2,114,7,0.06140350877192982,0,FALSE
