"SITE","site_type","SITE_label","year","substrate_group","count"
"Shark Bay","SF","Shark Bay (SF)",2015,"SP",1
"Shark Bay","SF","Shark Bay (SF)",2016,"HC",11
"Shark Bay","SF","Shark Bay (SF)",2016,"NIA",16
"Shark Bay","SF","Shark Bay (SF)",2016,"NL",122
"Shark Bay","SF","Shark Bay (SF)",2016,"OT",6
"Shark Bay","SF","Shark Bay (SF)",2016,"RKC",5
"Shark Bay","SF","Shark Bay (SF)",2017,"HC",16
"Shark Bay","SF","Shark Bay (SF)",2017,"HCB",8
"Shark Bay","SF","Shark Bay (SF)",2017,"NIA",13
"Shark Bay","SF","Shark Bay (SF)",2017,"NL",123
"Shark Bay","SF","Shark Bay (SF)",2018,"HC",25
"Shark Bay","SF","Shark Bay (SF)",2018,"HCB",2
"Shark Bay","SF","Shark Bay (SF)",2018,"NIA",27
"Shark Bay","SF","Shark Bay (SF)",2018,"NL",103
"Shark Bay","SF","Shark Bay (SF)",2018,"OT",3
"Shark Bay","SF","Shark Bay (SF)",2019,"HC",15
"Shark Bay","SF","Shark Bay (SF)",2019,"NIA",46
"Shark Bay","SF","Shark Bay (SF)",2019,"NL",94
"Shark Bay","SF","Shark Bay (SF)",2019,"OT",5
"Shark Bay","SF","Shark Bay (SF)",2020,"HC",17
"Shark Bay","SF","Shark Bay (SF)",2020,"NL",136
"Shark Bay","SF","Shark Bay (SF)",2020,"OT",5
"Shark Bay","SF","Shark Bay (SF)",2020,"RKC",2
"Shark Bay","SF","Shark Bay (SF)",2021,"HC",12
"Shark Bay","SF","Shark Bay (SF)",2021,"NIA",14
"Shark Bay","SF","Shark Bay (SF)",2021,"NL",127
"Shark Bay","SF","Shark Bay (SF)",2021,"OT",7
"Shark Bay","SF","Shark Bay (SF)",2022,"HC",18
"Shark Bay","SF","Shark Bay (SF)",2022,"HCB",1
"Shark Bay","SF","Shark Bay (SF)",2022,"NIA",28
"Shark Bay","SF","Shark Bay (SF)",2022,"NL",112
"Shark Bay","SF","Shark Bay (SF)",2022,"OT",1
"Shark Bay","SF","Shark Bay (SF)",2023,"HC",30
"Shark Bay","SF","Shark Bay (SF)",2023,"NIA",2
"Shark Bay","SF","Shark Bay (SF)",2023,"NL",126
"Shark Bay","SF","Shark Bay (SF)",2023,"OT",2
"Shark Bay","SF","Shark Bay (SF)",2024,"HC",27
"Shark Bay","SF","Shark Bay (SF)",2024,"HCB",1
"Shark Bay","SF","Shark Bay (SF)",2024,"NIA",21
"Shark Bay","SF","Shark Bay (SF)",2024,"NL",111
"Coral Cascade","NS","Coral Cascade (NS)",2013,"HC",69
"Coral Cascade","NS","Coral Cascade (NS)",2013,"NL",87
"Coral Cascade","NS","Coral Cascade (NS)",2013,"OT",1
"Coral Cascade","NS","Coral Cascade (NS)",2013,"SC",2
"Coral Cascade","NS","Coral Cascade (NS)",2013,"SP",1
"Coral Cascade","NS","Coral Cascade (NS)",2014,"HC",79
"Coral Cascade","NS","Coral Cascade (NS)",2014,"NL",65
"Coral Cascade","NS","Coral Cascade (NS)",2014,"OT",2
"Coral Cascade","NS","Coral Cascade (NS)",2014,"SC",13
"Coral Cascade","NS","Coral Cascade (NS)",2014,"SP",1
"Coral Cascade","NS","Coral Cascade (NS)",2015,"HC",91
"Coral Cascade","NS","Coral Cascade (NS)",2015,"NL",61
"Coral Cascade","NS","Coral Cascade (NS)",2015,"OT",2
"Coral Cascade","NS","Coral Cascade (NS)",2015,"RKC",4
"Coral Cascade","NS","Coral Cascade (NS)",2015,"SC",2
"Coral Cascade","NS","Coral Cascade (NS)",2016,"HC",97
